Index,Date,name,Scenario,Figure,Value,BusinessUnit,Factor
29,2019-02-01,Drills per Hour (TOH),Actual,Month,7001.8068,Mineral Extraction Technologies,1
30,2019-03-01,Coal Mined (Mt),Actual,Year-To-Date,19.1316,Deep Earth Exploration Unit,1000000
31,2019-03-01,Coal Mined (Mt),Actual,Month,5.61972,Deep Earth Exploration Unit,1000000
32,2019-03-01,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
33,2019-03-01,Utility (%),Actual,Year-To-Date,81.6,Deep Earth Exploration Unit,1
34,2019-03-01,Utility (%),Actual,Month,87.6,Deep Earth Exploration Unit,1
35,2019-03-01,Utility (%),Plan,Year-To-Date,73.02,Deep Earth Exploration Unit,1
36,2019-03-01,Utility (%),Plan,Month,76.056,Deep Earth Exploration Unit,1
37,2019-03-01,Coal Mined (Mt),Plan,Year-To-Date,23.1912,Deep Earth Exploration Unit,1000000
38,2019-03-01,Coal Mined (Mt),Plan,Month,7.98804,Deep Earth Exploration Unit,1000000
39,2019-03-01,Coal Mined (Mt),Actual,Year-To-Date,3.42576,ACME,1000000
40,2019-03-01,Coal Mined (Mt),Actual,Month,1.38396,ACME,1000000
41,2019-03-01,Coal Mined (Mt),Plan,Year-To-Date,7.98804,ACME,1000000
42,2019-03-01,Coal Mined (Mt),Plan,Month,1.32,ACME,1000000
43,2019-03-01,Yield (%),Actual,Year-To-Date,42.72,Deep Earth Exploration Unit,1
44,2019-03-01,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
45,2019-03-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
46,2019-03-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
47,2019-03-01,Coal Dry Mining (Mt),Actual,Year-To-Date,2.31024,Deep Earth Exploration Unit,1000000
48,2019-03-01,Coal Dry Mining (Mt),Actual,Month,0.84936,Deep Earth Exploration Unit,1000000
49,2019-03-01,Coal Dry Mining (Mt),Plan,Year-To-Date,3.3048,Deep Earth Exploration Unit,1000000
50,2019-03-01,Drills per Hour (TOH),Actual,Month,7145.09844,Pacific Surface Mining Solutions,1
51,2019-03-01,Drills per Hour (TOH),Actual,Month,21973.01508,Geomining Innovations,1
52,2019-03-01,Drills per Hour (TOH),Actual,Month,223.49268,Deep Earth Exploration Unit,1
53,2019-03-01,Drills per Hour (TOH),Actual,Month,136.07208,ACME,1
54,2019-03-01,Drills per Hour (TOH),Actual,Month,4402.94784,Core Extraction Systems,1
55,2019-03-01,Drills per Hour (TOH),Actual,Month,6714.11496,Mineral Extraction Technologies,1
56,2019-03-01,Rate (Mt.EFH Km),Actual,Year-To-Date,6838.308,Geomining Innovations,1
57,2019-03-01,Rate (Mt.EFH Km),Actual,Month,7351.87872,Geomining Innovations,1
58,2019-03-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3201.80688,Mineral Extraction Technologies,1
59,2019-04-01,Coal Mined (Mt),Actual,Year-To-Date,26.09004,Deep Earth Exploration Unit,1000000
60,2019-04-01,Coal Mined (Mt),Actual,Month,6.95856,Deep Earth Exploration Unit,1000000
61,2019-04-01,Coal Dry Mining (Mt),Plan,Month,1.1016,Deep Earth Exploration Unit,1000000
62,2019-04-01,Utility (%),Actual,Year-To-Date,87.84,Deep Earth Exploration Unit,1
63,2019-04-01,Utility (%),Actual,Month,92.4,Deep Earth Exploration Unit,1
64,2019-04-01,Utility (%),Plan,Year-To-Date,72.6,Deep Earth Exploration Unit,1
65,2019-04-01,Utility (%),Plan,Month,71.328,Deep Earth Exploration Unit,1
66,2019-04-01,Coal Mined (Mt),Plan,Year-To-Date,30.9216,Deep Earth Exploration Unit,1000000
67,2019-04-01,Coal Mined (Mt),Plan,Month,7.7304,Deep Earth Exploration Unit,1000000
68,2019-04-01,Coal Mined (Mt),Actual,Year-To-Date,4.95684,ACME,1000000
69,2019-04-01,Coal Mined (Mt),Actual,Month,1.5312,ACME,1000000
70,2019-04-01,Coal Mined (Mt),Plan,Year-To-Date,7.7304,ACME,1000000
71,2019-04-01,Coal Mined (Mt),Plan,Month,1.27872,ACME,1000000
72,2019-04-01,Yield (%),Actual,Year-To-Date,44.86104,Deep Earth Exploration Unit,1
73,2019-04-01,Yield (%),Actual,Month,50.4,Deep Earth Exploration Unit,1
74,2019-04-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
75,2019-04-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
76,2019-04-01,Coal Dry Mining (Mt),Actual,Year-To-Date,3.411,Deep Earth Exploration Unit,1000000
77,2019-04-01,Coal Dry Mining (Mt),Actual,Month,1.10076,Deep Earth Exploration Unit,1000000
78,2019-04-01,Coal Dry Mining (Mt),Plan,Year-To-Date,4.4064,Deep Earth Exploration Unit,1000000
79,2019-04-01,Drills per Hour (TOH),Actual,Month,14123.41164,Pacific Surface Mining Solutions,1
80,2019-04-01,Drills per Hour (TOH),Actual,Month,24392.03616,Geomining Innovations,1
81,2019-04-01,Drills per Hour (TOH),Actual,Month,236.50536,Deep Earth Exploration Unit,1
82,2019-04-01,Drills per Hour (TOH),Actual,Month,139.03212,ACME,1
83,2019-04-01,Drills per Hour (TOH),Actual,Month,4623.54708,Core Extraction Systems,1
84,2019-04-01,Drills per Hour (TOH),Actual,Month,6968.35188,Mineral Extraction Technologies,1
85,2019-04-01,Rate (Mt.EFH Km),Actual,Year-To-Date,6751.82292,Geomining Innovations,1
86,2019-04-01,Rate (Mt.EFH Km),Actual,Month,6492.4878,Geomining Innovations,1
87,2019-04-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3230.90364,Mineral Extraction Technologies,1
88,2019-05-01,Coal Mined (Mt),Plan,Year-To-Date,38.81172,Deep Earth Exploration Unit,1000000
89,2019-05-01,Coal Mined (Mt),Plan,Month,7.89012,Deep Earth Exploration Unit,1000000
90,2019-05-01,Coal Dry Mining (Mt),Actual,Month,0.0012,ACME,1000000
91,2019-05-01,Utility (%),Actual,Year-To-Date,82.872,Deep Earth Exploration Unit,1
92,2019-05-01,Utility (%),Actual,Month,84.0,Deep Earth Exploration Unit,1
93,2019-05-01,Utility (%),Plan,Year-To-Date,69.156,Deep Earth Exploration Unit,1
94,2019-05-01,Utility (%),Plan,Month,55.848,Deep Earth Exploration Unit,1
95,2019-05-01,Coal Mined (Mt),Actual,Year-To-Date,6.14976,ACME,1000000
96,2019-05-01,Coal Mined (Mt),Actual,Month,1.19292,ACME,1000000
97,2019-05-01,Coal Mined (Mt),Plan,Year-To-Date,7.89012,ACME,1000000
98,2019-05-01,Coal Mined (Mt),Plan,Month,1.32,ACME,1000000
99,2019-05-01,Yield (%),Actual,Year-To-Date,45.24876,Deep Earth Exploration Unit,1
100,2019-05-01,Yield (%),Actual,Month,46.8,Deep Earth Exploration Unit,1
101,2019-05-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
102,2019-05-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
103,2019-05-01,Coal Dry Mining (Mt),Actual,Year-To-Date,4.5624,Deep Earth Exploration Unit,1000000
104,2019-05-01,Coal Dry Mining (Mt),Actual,Month,1.15152,Deep Earth Exploration Unit,1000000
105,2019-05-01,Coal Dry Mining (Mt),Plan,Year-To-Date,5.54472,Deep Earth Exploration Unit,1000000
106,2019-05-01,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
107,2019-05-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.0012,ACME,1000000
108,2019-05-01,Drills per Hour (TOH),Actual,Month,9970.50516,Pacific Surface Mining Solutions,1
109,2019-05-01,Drills per Hour (TOH),Actual,Month,21367.21764,Geomining Innovations,1
110,2019-05-01,Drills per Hour (TOH),Actual,Month,215.99544,Deep Earth Exploration Unit,1
111,2019-05-01,Drills per Hour (TOH),Actual,Month,148.51548,ACME,1
112,2019-05-01,Drills per Hour (TOH),Actual,Month,4183.36848,Core Extraction Systems,1
113,2019-05-01,Drills per Hour (TOH),Actual,Month,5842.79412,Mineral Extraction Technologies,1
114,2019-05-01,Rate (Mt.EFH Km),Actual,Year-To-Date,6821.16792,Geomining Innovations,1
115,2019-05-01,Rate (Mt.EFH Km),Actual,Month,7089.50664,Geomining Innovations,1
116,2019-05-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3232.15068,Mineral Extraction Technologies,1
117,2019-05-01,Rate (Mt.EFH Km),Actual,Month,3237.55872,Mineral Extraction Technologies,1
118,2019-05-01,Coal Mined (Mt),Actual,Year-To-Date,32.7072,Deep Earth Exploration Unit,1000000
119,2019-06-01,Yield (%),Actual,Year-To-Date,44.5074,Deep Earth Exploration Unit,1
120,2019-06-01,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
121,2019-06-01,Utility (%),Actual,Month,63.6,Deep Earth Exploration Unit,1
122,2019-06-01,Utility (%),Plan,Year-To-Date,67.2,Deep Earth Exploration Unit,1
123,2019-06-01,Utility (%),Plan,Month,57.372,Deep Earth Exploration Unit,1
124,2019-06-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
125,2019-06-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
126,2019-06-01,Coal Dry Mining (Mt),Actual,Year-To-Date,5.82276,Deep Earth Exploration Unit,1000000
127,2019-06-01,Coal Dry Mining (Mt),Actual,Month,1.26036,Deep Earth Exploration Unit,1000000
128,2019-06-01,Coal Dry Mining (Mt),Plan,Year-To-Date,6.32232,Deep Earth Exploration Unit,1000000
129,2019-06-01,Coal Dry Mining (Mt),Plan,Month,0.7776,Deep Earth Exploration Unit,1000000
130,2019-06-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.0504,ACME,1000000
131,2019-06-01,Coal Dry Mining (Mt),Actual,Month,0.0492,ACME,1000000
132,2019-06-01,Utility (%),Actual,Year-To-Date,83.16,Deep Earth Exploration Unit,1
133,2019-06-01,Drills per Hour (TOH),Actual,Month,32067.5094,Pacific Surface Mining Solutions,1
134,2019-06-01,Drills per Hour (TOH),Actual,Month,22308.45024,Geomining Innovations,1
135,2019-06-01,Drills per Hour (TOH),Actual,Month,195.76428,Deep Earth Exploration Unit,1
136,2019-06-01,Drills per Hour (TOH),Actual,Month,129.6108,ACME,1
137,2019-06-01,Drills per Hour (TOH),Actual,Month,3964.21536,Core Extraction Systems,1
138,2019-06-01,Drills per Hour (TOH),Actual,Month,6097.7328,Mineral Extraction Technologies,1
139,2019-06-01,Rate (Mt.EFH Km),Actual,Year-To-Date,6977.63532,Geomining Innovations,1
140,2019-06-01,Rate (Mt.EFH Km),Actual,Month,7764.97056,Geomining Innovations,1
141,2019-06-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3324.1176,Mineral Extraction Technologies,1
142,2019-06-01,Rate (Mt.EFH Km),Actual,Month,3834.58884,Mineral Extraction Technologies,1
143,2019-06-01,Coal Mined (Mt),Actual,Year-To-Date,39.4938,Deep Earth Exploration Unit,1000000
144,2019-06-01,Coal Mined (Mt),Actual,Month,6.7866,Deep Earth Exploration Unit,1000000
145,2019-06-01,Coal Mined (Mt),Plan,Year-To-Date,44.76408,Deep Earth Exploration Unit,1000000
146,2019-06-01,Coal Mined (Mt),Plan,Month,5.95224,Deep Earth Exploration Unit,1000000
147,2019-06-01,Coal Mined (Mt),Actual,Year-To-Date,7.52304,ACME,1000000
148,2019-06-01,Coal Mined (Mt),Actual,Month,1.37328,ACME,1000000
149,2019-06-01,Coal Mined (Mt),Plan,Year-To-Date,5.95224,ACME,1000000
150,2019-07-01,Coal Mined (Mt),Plan,Year-To-Date,52.56708,Deep Earth Exploration Unit,1000000
151,2019-07-01,Coal Mined (Mt),Plan,Month,7.803,Deep Earth Exploration Unit,1000000
152,2019-07-01,Coal Dry Mining (Mt),Actual,Month,0.12984,ACME,1000000
153,2019-07-01,Utility (%),Actual,Year-To-Date,80.76,Deep Earth Exploration Unit,1
154,2019-07-01,Utility (%),Actual,Month,67.2,Deep Earth Exploration Unit,1
155,2019-07-01,Utility (%),Plan,Year-To-Date,65.04,Deep Earth Exploration Unit,1
156,2019-07-01,Utility (%),Plan,Month,52.428,Deep Earth Exploration Unit,1
157,2019-07-01,Coal Mined (Mt),Actual,Year-To-Date,8.70024,ACME,1000000
158,2019-07-01,Coal Mined (Mt),Actual,Month,1.1772,ACME,1000000
159,2019-07-01,Coal Mined (Mt),Plan,Year-To-Date,7.803,ACME,1000000
160,2019-07-01,Coal Mined (Mt),Plan,Month,0.94344,ACME,1000000
161,2019-07-01,Yield (%),Actual,Year-To-Date,43.4634,Deep Earth Exploration Unit,1
162,2019-07-01,Yield (%),Actual,Month,37.2,Deep Earth Exploration Unit,1
163,2019-07-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
164,2019-07-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
165,2019-07-01,Coal Dry Mining (Mt),Actual,Year-To-Date,6.8976,Deep Earth Exploration Unit,1000000
166,2019-07-01,Coal Dry Mining (Mt),Actual,Month,1.07484,Deep Earth Exploration Unit,1000000
167,2019-07-01,Coal Dry Mining (Mt),Plan,Year-To-Date,7.46064,Deep Earth Exploration Unit,1000000
168,2019-07-01,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
169,2019-07-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.18024,ACME,1000000
170,2019-07-01,Drills per Hour (TOH),Actual,Month,31512.51828,Pacific Surface Mining Solutions,1
171,2019-07-01,Drills per Hour (TOH),Actual,Month,24518.19468,Geomining Innovations,1
172,2019-07-01,Drills per Hour (TOH),Actual,Month,229.58604,Deep Earth Exploration Unit,1
173,2019-07-01,Drills per Hour (TOH),Actual,Month,128.18772,ACME,1
174,2019-07-01,Drills per Hour (TOH),Actual,Month,4282.8258,Core Extraction Systems,1
175,2019-07-01,Drills per Hour (TOH),Actual,Month,7106.679,Mineral Extraction Technologies,1
176,2019-07-01,Rate (Mt.EFH Km),Actual,Year-To-Date,7210.31136,Geomining Innovations,1
177,2019-07-01,Rate (Mt.EFH Km),Actual,Month,8568.52704,Geomining Innovations,1
178,2019-07-01,Rate (Mt.EFH Km),Actual,Year-To-Date,21967.9842,Core Extraction Systems,1
179,2019-07-01,Rate (Mt.EFH Km),Actual,Month,3656.06724,Core Extraction Systems,1
180,2019-07-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3385.44264,Mineral Extraction Technologies,1
181,2019-07-01,Rate (Mt.EFH Km),Actual,Month,3774.19896,Mineral Extraction Technologies,1
182,2019-07-01,Coal Mined (Mt),Actual,Year-To-Date,46.17048,Deep Earth Exploration Unit,1000000
183,2019-08-01,Coal Mined (Mt),Plan,Year-To-Date,60.27768,Deep Earth Exploration Unit,1000000
184,2019-08-01,Coal Mined (Mt),Plan,Month,7.7106,Deep Earth Exploration Unit,1000000
185,2019-08-01,Coal Dry Mining (Mt),Actual,Month,0.1866,ACME,1000000
186,2019-08-01,Utility (%),Actual,Year-To-Date,76.32,Deep Earth Exploration Unit,1
187,2019-08-01,Utility (%),Actual,Month,45.6,Deep Earth Exploration Unit,1
188,2019-08-01,Utility (%),Plan,Year-To-Date,61.608,Deep Earth Exploration Unit,1
189,2019-08-01,Utility (%),Plan,Month,38.1,Deep Earth Exploration Unit,1
190,2019-08-01,Coal Mined (Mt),Actual,Year-To-Date,9.82596,ACME,1000000
191,2019-08-01,Coal Mined (Mt),Actual,Month,1.12572,ACME,1000000
192,2019-08-01,Coal Mined (Mt),Plan,Year-To-Date,7.7106,ACME,1000000
193,2019-08-01,Coal Mined (Mt),Plan,Month,0.92856,ACME,1000000
194,2019-08-01,Yield (%),Actual,Year-To-Date,42.83052,Deep Earth Exploration Unit,1
195,2019-08-01,Yield (%),Actual,Month,38.4,Deep Earth Exploration Unit,1
196,2019-08-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
197,2019-08-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
198,2019-08-01,Coal Dry Mining (Mt),Actual,Year-To-Date,8.26608,Deep Earth Exploration Unit,1000000
199,2019-08-01,Coal Dry Mining (Mt),Actual,Month,1.36848,Deep Earth Exploration Unit,1000000
200,2019-08-01,Coal Dry Mining (Mt),Plan,Year-To-Date,8.59896,Deep Earth Exploration Unit,1000000
201,2019-08-01,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
202,2019-08-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.36684,ACME,1000000
203,2019-08-01,Drills per Hour (TOH),Actual,Month,31652.74368,Pacific Surface Mining Solutions,1
204,2019-08-01,Drills per Hour (TOH),Actual,Month,23067.85284,Geomining Innovations,1
205,2019-08-01,Drills per Hour (TOH),Actual,Month,163.96824,Deep Earth Exploration Unit,1
206,2019-08-01,Drills per Hour (TOH),Actual,Month,112.18896,ACME,1
207,2019-08-01,Drills per Hour (TOH),Actual,Month,4220.38092,Core Extraction Systems,1
208,2019-08-01,Drills per Hour (TOH),Actual,Month,6922.73196,Mineral Extraction Technologies,1
209,2019-08-01,Rate (Mt.EFH Km),Actual,Year-To-Date,7306.2864,Geomining Innovations,1
210,2019-08-01,Rate (Mt.EFH Km),Actual,Month,7962.50232,Geomining Innovations,1
211,2019-08-01,Rate (Mt.EFH Km),Actual,Year-To-Date,13159.34928,Core Extraction Systems,1
212,2019-08-01,Rate (Mt.EFH Km),Actual,Month,3942.70476,Core Extraction Systems,1
213,2019-08-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3434.83224,Mineral Extraction Technologies,1
214,2019-08-01,Rate (Mt.EFH Km),Actual,Month,3797.3172,Mineral Extraction Technologies,1
215,2019-08-01,Coal Mined (Mt),Actual,Year-To-Date,53.16396,Deep Earth Exploration Unit,1000000
216,2019-09-01,Coal Mined (Mt),Plan,Year-To-Date,68.12988,Deep Earth Exploration Unit,1000000
217,2019-09-01,Coal Mined (Mt),Plan,Month,7.8522,Deep Earth Exploration Unit,1000000
218,2019-09-01,Coal Dry Mining (Mt),Actual,Month,0.17316,ACME,1000000
219,2019-09-01,Utility (%),Actual,Year-To-Date,73.50672,Deep Earth Exploration Unit,1
220,2019-09-01,Utility (%),Actual,Month,70.8,Deep Earth Exploration Unit,1
221,2019-09-01,Utility (%),Plan,Year-To-Date,61.728,Deep Earth Exploration Unit,1
222,2019-09-01,Utility (%),Plan,Month,62.736,Deep Earth Exploration Unit,1
223,2019-09-01,Coal Mined (Mt),Actual,Year-To-Date,11.21628,ACME,1000000
224,2019-09-01,Coal Mined (Mt),Actual,Month,1.39032,ACME,1000000
225,2019-09-01,Coal Mined (Mt),Plan,Year-To-Date,7.8522,ACME,1000000
226,2019-09-01,Coal Mined (Mt),Plan,Month,1.452,ACME,1000000
227,2019-09-01,Yield (%),Actual,Year-To-Date,42.33828,Deep Earth Exploration Unit,1
228,2019-09-01,Yield (%),Actual,Month,38.4,Deep Earth Exploration Unit,1
229,2019-09-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
230,2019-09-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
231,2019-09-01,Coal Dry Mining (Mt),Actual,Year-To-Date,9.61956,Deep Earth Exploration Unit,1000000
232,2019-09-01,Coal Dry Mining (Mt),Actual,Month,1.35348,Deep Earth Exploration Unit,1000000
233,2019-09-01,Coal Dry Mining (Mt),Plan,Year-To-Date,9.70056,Deep Earth Exploration Unit,1000000
234,2019-09-01,Coal Dry Mining (Mt),Plan,Month,1.1016,Deep Earth Exploration Unit,1000000
235,2019-09-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.54,ACME,1000000
236,2019-09-01,Drills per Hour (TOH),Actual,Month,31273.46892,Pacific Surface Mining Solutions,1
237,2019-09-01,Drills per Hour (TOH),Actual,Month,22536.59868,Geomining Innovations,1
238,2019-09-01,Drills per Hour (TOH),Actual,Month,239.42892,Deep Earth Exploration Unit,1
239,2019-09-01,Drills per Hour (TOH),Actual,Month,93.78228,ACME,1
240,2019-09-01,Drills per Hour (TOH),Actual,Month,4596.81132,Core Extraction Systems,1
241,2019-09-01,Drills per Hour (TOH),Actual,Month,6979.41276,Mineral Extraction Technologies,1
242,2019-09-01,Rate (Mt.EFH Km),Actual,Year-To-Date,7560.35472,Geomining Innovations,1
243,2019-09-01,Rate (Mt.EFH Km),Actual,Month,9617.95584,Geomining Innovations,1
244,2019-09-01,Rate (Mt.EFH Km),Actual,Year-To-Date,10241.49288,Core Extraction Systems,1
245,2019-09-01,Rate (Mt.EFH Km),Actual,Month,4071.59832,Core Extraction Systems,1
246,2019-09-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3506.15844,Mineral Extraction Technologies,1
247,2019-09-01,Rate (Mt.EFH Km),Actual,Month,4120.79448,Mineral Extraction Technologies,1
248,2019-09-01,Coal Mined (Mt),Actual,Year-To-Date,60.32472,Deep Earth Exploration Unit,1000000
249,2019-10-01,Coal Mined (Mt),Plan,Year-To-Date,76.4064,Deep Earth Exploration Unit,1000000
250,2019-10-01,Coal Mined (Mt),Plan,Month,8.2764,Deep Earth Exploration Unit,1000000
251,2019-10-01,Coal Dry Mining (Mt),Actual,Month,0.17112,ACME,1000000
252,2019-10-01,Utility (%),Actual,Year-To-Date,72.876,Deep Earth Exploration Unit,1
253,2019-10-01,Utility (%),Actual,Month,67.2,Deep Earth Exploration Unit,1
254,2019-10-01,Utility (%),Plan,Year-To-Date,62.724,Deep Earth Exploration Unit,1
255,2019-10-01,Utility (%),Plan,Month,71.472,Deep Earth Exploration Unit,1
256,2019-10-01,Coal Mined (Mt),Actual,Year-To-Date,12.34752,ACME,1000000
257,2019-10-01,Coal Mined (Mt),Actual,Month,1.13124,ACME,1000000
258,2019-10-01,Coal Mined (Mt),Plan,Year-To-Date,8.2764,ACME,1000000
259,2019-10-01,Coal Mined (Mt),Plan,Month,1.49988,ACME,1000000
260,2019-10-01,Yield (%),Actual,Year-To-Date,42.18444,Deep Earth Exploration Unit,1
261,2019-10-01,Yield (%),Actual,Month,40.8,Deep Earth Exploration Unit,1
262,2019-10-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
263,2019-10-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
264,2019-10-01,Coal Dry Mining (Mt),Actual,Year-To-Date,10.78608,Deep Earth Exploration Unit,1000000
265,2019-10-01,Coal Dry Mining (Mt),Actual,Month,1.16652,Deep Earth Exploration Unit,1000000
266,2019-10-01,Coal Dry Mining (Mt),Plan,Year-To-Date,10.83888,Deep Earth Exploration Unit,1000000
267,2019-10-01,Coal Dry Mining (Mt),Plan,Month,1.13832,Deep Earth Exploration Unit,1000000
268,2019-10-01,Coal Dry Mining (Mt),Actual,Year-To-Date,0.71112,ACME,1000000
269,2019-10-01,Drills per Hour (TOH),Actual,Month,31462.61052,Pacific Surface Mining Solutions,1
270,2019-10-01,Drills per Hour (TOH),Actual,Month,23418.69936,Geomining Innovations,1
271,2019-10-01,Drills per Hour (TOH),Actual,Month,239.53416,Deep Earth Exploration Unit,1
272,2019-10-01,Drills per Hour (TOH),Actual,Month,108.01032,ACME,1
273,2019-10-01,Drills per Hour (TOH),Actual,Month,4443.11148,Core Extraction Systems,1
274,2019-10-01,Drills per Hour (TOH),Actual,Month,6938.93208,Mineral Extraction Technologies,1
275,2019-10-01,Rate (Mt.EFH Km),Actual,Year-To-Date,7685.84496,Geomining Innovations,1
276,2019-10-01,Rate (Mt.EFH Km),Actual,Month,8790.79932,Geomining Innovations,1
277,2019-10-01,Rate (Mt.EFH Km),Actual,Year-To-Date,8612.35008,Core Extraction Systems,1
278,2019-10-01,Rate (Mt.EFH Km),Actual,Month,3702.01404,Core Extraction Systems,1
279,2019-10-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3560.33616,Mineral Extraction Technologies,1
280,2019-10-01,Rate (Mt.EFH Km),Actual,Month,4064.56992,Mineral Extraction Technologies,1
281,2019-10-01,Coal Mined (Mt),Actual,Year-To-Date,67.72308,Deep Earth Exploration Unit,1000000
282,2019-11-01,Coal Mined (Mt),Plan,Year-To-Date,84.48708,Deep Earth Exploration Unit,1000000
283,2019-11-01,Coal Mined (Mt),Plan,Month,8.08068,Deep Earth Exploration Unit,1000000
284,2019-11-01,Coal Dry Mining (Mt),Actual,Month,0.15324,ACME,1000000
285,2019-11-01,Utility (%),Actual,Year-To-Date,71.26908,Deep Earth Exploration Unit,1
286,2019-11-01,Utility (%),Actual,Month,55.2,Deep Earth Exploration Unit,1
287,2019-11-01,Utility (%),Plan,Year-To-Date,63.912,Deep Earth Exploration Unit,1
288,2019-11-01,Utility (%),Plan,Month,75.972,Deep Earth Exploration Unit,1
289,2019-11-01,Coal Mined (Mt),Actual,Year-To-Date,13.73448,ACME,1000000
290,2019-11-01,Coal Mined (Mt),Actual,Month,1.38696,ACME,1000000
291,2019-11-01,Coal Mined (Mt),Plan,Year-To-Date,8.08068,ACME,1000000
